Age,Sex,province,education,total_count,education_level
35 to 44,Female,Ontario,"No certificate, diploma or degree (2016 counts)",61130,Other
35 to 44,Female,Ontario,Secondary (high) school diploma or equivalency certificate (2016 counts),167105,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Ontario,Apprenticeship or trades certificate or diploma (2016 counts),28665,Apprenticeship or trades certificate or diploma
35 to 44,Female,Ontario,"College, CEGEP or other non-university certificate or diploma (2016 counts)",251610,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Ontario,University certificate or diploma below bachelor level (2016 counts),24205,University certificate or diploma below bachelor level
45 to 54,Both sexes,Ontario,"Total - Highest certificate, diploma or degree (2016 counts)",1979105,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Ontario,"No certificate, diploma or degree (2016 counts)",210055,Other
45 to 54,Both sexes,Ontario,Secondary (high) school diploma or equivalency certificate (2016 counts),498690,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Ontario,Apprenticeship or trades certificate or diploma (2016 counts),133780,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Ontario,"College, CEGEP or other non-university certificate or diploma (2016 counts)",500730,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,Ontario,University certificate or diploma below bachelor level (2016 counts),50735,University certificate or diploma below bachelor level
45 to 54,Male,Ontario,"Total - Highest certificate, diploma or degree (2016 counts)",959165,"Highest certificate, diploma or degree"
45 to 54,Male,Ontario,"No certificate, diploma or degree (2016 counts)",113985,Other
45 to 54,Male,Ontario,Secondary (high) school diploma or equivalency certificate (2016 counts),243260,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,Ontario,Apprenticeship or trades certificate or diploma (2016 counts),93085,Apprenticeship or trades certificate or diploma
45 to 54,Male,Ontario,"College, CEGEP or other non-university certificate or diploma (2016 counts)",207030,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,Ontario,University certificate or diploma below bachelor level (2016 counts),22225,University certificate or diploma below bachelor level
45 to 54,Female,Ontario,"Total - Highest certificate, diploma or degree (2016 counts)",1019940,"Highest certificate, diploma or degree"
45 to 54,Female,Ontario,"No certificate, diploma or degree (2016 counts)",96070,Other
45 to 54,Female,Ontario,Secondary (high) school diploma or equivalency certificate (2016 counts),255435,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,Ontario,Apprenticeship or trades certificate or diploma (2016 counts),40690,Apprenticeship or trades certificate or diploma
45 to 54,Female,Ontario,"College, CEGEP or other non-university certificate or diploma (2016 counts)",293700,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Ontario,University certificate or diploma below bachelor level (2016 counts),28515,University certificate or diploma below bachelor level
55 to 64,Both sexes,Ontario,"Total - Highest certificate, diploma or degree (2016 counts)",1818565,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Ontario,"No certificate, diploma or degree (2016 counts)",275250,Other
55 to 64,Both sexes,Ontario,Secondary (high) school diploma or equivalency certificate (2016 counts),525555,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Ontario,Apprenticeship or trades certificate or diploma (2016 counts),139745,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Ontario,"College, CEGEP or other non-university certificate or diploma (2016 counts)",415285,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Ontario,University certificate or diploma below bachelor level (2016 counts),42980,University certificate or diploma below bachelor level
55 to 64,Male,Ontario,"Total - Highest certificate, diploma or degree (2016 counts)",878310,"Highest certificate, diploma or degree"
55 to 64,Male,Ontario,"No certificate, diploma or degree (2016 counts)",139910,Other
55 to 64,Male,Ontario,Secondary (high) school diploma or equivalency certificate (2016 counts),229995,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Ontario,Apprenticeship or trades certificate or diploma (2016 counts),101235,Apprenticeship or trades certificate or diploma
55 to 64,Male,Ontario,"College, CEGEP or other non-university certificate or diploma (2016 counts)",173380,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Ontario,University certificate or diploma below bachelor level (2016 counts),19975,University certificate or diploma below bachelor level
55 to 64,Female,Ontario,"Total - Highest certificate, diploma or degree (2016 counts)",940255,"Highest certificate, diploma or degree"
55 to 64,Female,Ontario,"No certificate, diploma or degree (2016 counts)",135345,Other
55 to 64,Female,Ontario,Secondary (high) school diploma or equivalency certificate (2016 counts),295565,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Ontario,Apprenticeship or trades certificate or diploma (2016 counts),38510,Apprenticeship or trades certificate or diploma
55 to 64,Female,Ontario,"College, CEGEP or other non-university certificate or diploma (2016 counts)",241910,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,Ontario,University certificate or diploma below bachelor level (2016 counts),23005,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",1001305,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Manitoba,"No certificate, diploma or degree (2016 counts)",220390,Other
"All ages, 15-plus",Both sexes,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),296360,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),77005,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",177620,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Manitoba,University certificate or diploma below bachelor level (2016 counts),28940,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",491580,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Manitoba,"No certificate, diploma or degree (2016 counts)",116570,Other
"All ages, 15-plus",Male,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),147040,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),54095,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",72785,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Manitoba,University certificate or diploma below bachelor level (2016 counts),12075,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",509725,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Manitoba,"No certificate, diploma or degree (2016 counts)",103825,Other
"All ages, 15-plus",Female,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),149320,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),22910,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",104835,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Manitoba,University certificate or diploma below bachelor level (2016 counts),16860,University certificate or diploma below bachelor level
25 to 64,Both sexes,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",654670,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Manitoba,"No certificate, diploma or degree (2016 counts)",94310,Other
25 to 64,Both sexes,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),182330,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),53800,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",137930,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Manitoba,University certificate or diploma below bachelor level (2016 counts),21215,University certificate or diploma below bachelor level
25 to 64,Male,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",323305,"Highest certificate, diploma or degree"
25 to 64,Male,Manitoba,"No certificate, diploma or degree (2016 counts)",54705,Other
25 to 64,Male,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),93005,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),38185,Apprenticeship or trades certificate or diploma
25 to 64,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",57445,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Manitoba,University certificate or diploma below bachelor level (2016 counts),8995,University certificate or diploma below bachelor level
25 to 64,Female,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",331370,"Highest certificate, diploma or degree"
25 to 64,Female,Manitoba,"No certificate, diploma or degree (2016 counts)",39610,Other
25 to 64,Female,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),89325,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),15615,Apprenticeship or trades certificate or diploma
25 to 64,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",80485,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Manitoba,University certificate or diploma below bachelor level (2016 counts),12220,University certificate or diploma below bachelor level
25 to 34,Both sexes,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",168620,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Manitoba,"No certificate, diploma or degree (2016 counts)",20395,Other
25 to 34,Both sexes,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),48965,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),11905,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",31640,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Manitoba,University certificate or diploma below bachelor level (2016 counts),4100,University certificate or diploma below bachelor level
25 to 34,Male,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",83720,"Highest certificate, diploma or degree"
25 to 34,Male,Manitoba,"No certificate, diploma or degree (2016 counts)",12075,Other
25 to 34,Male,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),27250,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),8525,Apprenticeship or trades certificate or diploma
25 to 34,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",13500,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Manitoba,University certificate or diploma below bachelor level (2016 counts),1790,University certificate or diploma below bachelor level
25 to 34,Female,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",84905,"Highest certificate, diploma or degree"
25 to 34,Female,Manitoba,"No certificate, diploma or degree (2016 counts)",8320,Other
25 to 34,Female,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),21710,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),3375,Apprenticeship or trades certificate or diploma
25 to 34,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",18140,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Manitoba,University certificate or diploma below bachelor level (2016 counts),2305,University certificate or diploma below bachelor level
35 to 44,Both sexes,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",157825,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Manitoba,"No certificate, diploma or degree (2016 counts)",18120,Other
35 to 44,Both sexes,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),40590,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),12565,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",35275,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Manitoba,University certificate or diploma below bachelor level (2016 counts),4810,University certificate or diploma below bachelor level
35 to 44,Male,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",77460,"Highest certificate, diploma or degree"
35 to 44,Male,Manitoba,"No certificate, diploma or degree (2016 counts)",10470,Other
35 to 44,Male,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),21890,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),8820,Apprenticeship or trades certificate or diploma
35 to 44,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",14690,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Manitoba,University certificate or diploma below bachelor level (2016 counts),2210,University certificate or diploma below bachelor level
35 to 44,Female,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",80370,"Highest certificate, diploma or degree"
35 to 44,Female,Manitoba,"No certificate, diploma or degree (2016 counts)",7650,Other
35 to 44,Female,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),18705,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),3740,Apprenticeship or trades certificate or diploma
35 to 44,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",20590,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Manitoba,University certificate or diploma below bachelor level (2016 counts),2605,University certificate or diploma below bachelor level
45 to 54,Both sexes,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",166345,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Manitoba,"No certificate, diploma or degree (2016 counts)",24640,Other
45 to 54,Both sexes,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),45500,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),14650,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",37640,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,Manitoba,University certificate or diploma below bachelor level (2016 counts),6295,University certificate or diploma below bachelor level
45 to 54,Male,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",82265,"Highest certificate, diploma or degree"
45 to 54,Male,Manitoba,"No certificate, diploma or degree (2016 counts)",14390,Other
45 to 54,Male,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),22350,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),10070,Apprenticeship or trades certificate or diploma
45 to 54,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",15585,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,Manitoba,University certificate or diploma below bachelor level (2016 counts),2605,University certificate or diploma below bachelor level
45 to 54,Female,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",84080,"Highest certificate, diploma or degree"
45 to 54,Female,Manitoba,"No certificate, diploma or degree (2016 counts)",10250,Other
45 to 54,Female,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),23150,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),4580,Apprenticeship or trades certificate or diploma
45 to 54,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",22060,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Manitoba,University certificate or diploma below bachelor level (2016 counts),3690,University certificate or diploma below bachelor level
55 to 64,Both sexes,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",161880,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Manitoba,"No certificate, diploma or degree (2016 counts)",31155,Other
55 to 64,Both sexes,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),47270,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),14685,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",33370,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Manitoba,University certificate or diploma below bachelor level (2016 counts),6010,University certificate or diploma below bachelor level
55 to 64,Male,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",79860,"Highest certificate, diploma or degree"
55 to 64,Male,Manitoba,"No certificate, diploma or degree (2016 counts)",17765,Other
55 to 64,Male,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),21510,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),10770,Apprenticeship or trades certificate or diploma
55 to 64,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",13670,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Manitoba,University certificate or diploma below bachelor level (2016 counts),2390,University certificate or diploma below bachelor level
55 to 64,Female,Manitoba,"Total - Highest certificate, diploma or degree (2016 counts)",82015,"Highest certificate, diploma or degree"
55 to 64,Female,Manitoba,"No certificate, diploma or degree (2016 counts)",13385,Other
55 to 64,Female,Manitoba,Secondary (high) school diploma or equivalency certificate (2016 counts),25760,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Manitoba,Apprenticeship or trades certificate or diploma (2016 counts),3915,Apprenticeship or trades certificate or diploma
55 to 64,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma (2016 counts)",19700,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,Manitoba,University certificate or diploma below bachelor level (2016 counts),3615,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",857295,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Saskatchewan,"No certificate, diploma or degree (2016 counts)",177210,Other
"All ages, 15-plus",Both sexes,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),261210,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),89445,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",146770,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),28195,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",424260,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Saskatchewan,"No certificate, diploma or degree (2016 counts)",96680,Other
"All ages, 15-plus",Male,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),133725,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),64100,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",51240,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),10790,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",433035,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Saskatchewan,"No certificate, diploma or degree (2016 counts)",80530,Other
"All ages, 15-plus",Female,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),127480,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),25345,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",95525,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),17405,University certificate or diploma below bachelor level
25 to 64,Both sexes,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",566245,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Saskatchewan,"No certificate, diploma or degree (2016 counts)",69200,Other
25 to 64,Both sexes,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),168040,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),66960,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",115085,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),19385,University certificate or diploma below bachelor level
25 to 64,Male,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",282510,"Highest certificate, diploma or degree"
25 to 64,Male,Saskatchewan,"No certificate, diploma or degree (2016 counts)",42045,Other
25 to 64,Male,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),88530,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),48885,Apprenticeship or trades certificate or diploma
25 to 64,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",41085,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),7775,University certificate or diploma below bachelor level
25 to 64,Female,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",283735,"Highest certificate, diploma or degree"
25 to 64,Female,Saskatchewan,"No certificate, diploma or degree (2016 counts)",27155,Other
25 to 64,Female,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),79505,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),18080,Apprenticeship or trades certificate or diploma
25 to 64,Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",74000,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),11610,University certificate or diploma below bachelor level
25 to 34,Both sexes,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",152670,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Saskatchewan,"No certificate, diploma or degree (2016 counts)",14985,Other
25 to 34,Both sexes,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),45325,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),16585,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",27840,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),3760,University certificate or diploma below bachelor level
25 to 34,Male,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",76695,"Highest certificate, diploma or degree"
25 to 34,Male,Saskatchewan,"No certificate, diploma or degree (2016 counts)",8870,Other
25 to 34,Male,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),25725,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),12435,Apprenticeship or trades certificate or diploma
25 to 34,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",10555,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),1530,University certificate or diploma below bachelor level
25 to 34,Female,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",75975,"Highest certificate, diploma or degree"
25 to 34,Female,Saskatchewan,"No certificate, diploma or degree (2016 counts)",6115,Other
25 to 34,Female,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),19600,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),4155,Apprenticeship or trades certificate or diploma
25 to 34,Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",17285,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),2230,University certificate or diploma below bachelor level
35 to 44,Both sexes,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",134695,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Saskatchewan,"No certificate, diploma or degree (2016 counts)",12605,Other
35 to 44,Both sexes,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),37085,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),15685,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",29090,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),4305,University certificate or diploma below bachelor level
35 to 44,Male,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",67290,"Highest certificate, diploma or degree"
35 to 44,Male,Saskatchewan,"No certificate, diploma or degree (2016 counts)",7700,Other
35 to 44,Male,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),20640,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),11355,Apprenticeship or trades certificate or diploma
35 to 44,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",10815,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),1735,University certificate or diploma below bachelor level
35 to 44,Female,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",67405,"Highest certificate, diploma or degree"
35 to 44,Female,Saskatchewan,"No certificate, diploma or degree (2016 counts)",4905,Other
35 to 44,Female,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),16445,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),4330,Apprenticeship or trades certificate or diploma
35 to 44,Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",18275,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),2570,University certificate or diploma below bachelor level
45 to 54,Both sexes,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",136810,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Saskatchewan,"No certificate, diploma or degree (2016 counts)",18275,Other
45 to 54,Both sexes,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),39625,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),16795,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",30450,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),5285,University certificate or diploma below bachelor level
45 to 54,Male,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",67860,"Highest certificate, diploma or degree"
45 to 54,Male,Saskatchewan,"No certificate, diploma or degree (2016 counts)",11155,Other
45 to 54,Male,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),20680,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),11685,Apprenticeship or trades certificate or diploma
45 to 54,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",10335,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),2020,University certificate or diploma below bachelor level
