Age,Sex,province,education,total_count,education_level
"All ages, 15-plus",Male,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),4275,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",225155,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",51495,Other
"All ages, 15-plus",Female,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),59275,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),13110,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",58345,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),6125,University certificate or diploma below bachelor level
25 to 64,Both sexes,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",287880,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",45175,Other
25 to 64,Both sexes,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),65210,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),36075,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",81955,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),6675,University certificate or diploma below bachelor level
25 to 64,Male,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",139650,"Highest certificate, diploma or degree"
25 to 64,Male,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",23970,Other
25 to 64,Male,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),30300,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),26475,Apprenticeship or trades certificate or diploma
25 to 64,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",34175,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),2965,University certificate or diploma below bachelor level
25 to 64,Female,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",148230,"Highest certificate, diploma or degree"
25 to 64,Female,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",21205,Other
25 to 64,Female,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),34910,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),9605,Apprenticeship or trades certificate or diploma
25 to 64,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",47780,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),3710,University certificate or diploma below bachelor level
25 to 34,Both sexes,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",57420,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",4585,Other
25 to 34,Both sexes,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),12790,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),7135,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",15935,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),1265,University certificate or diploma below bachelor level
25 to 34,Male,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",27950,"Highest certificate, diploma or degree"
25 to 34,Male,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",2615,Other
25 to 34,Male,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),6440,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),5420,Apprenticeship or trades certificate or diploma
25 to 34,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",7030,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),645,University certificate or diploma below bachelor level
25 to 34,Female,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",29470,"Highest certificate, diploma or degree"
25 to 34,Female,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",1970,Other
25 to 34,Female,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),6345,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),1720,Apprenticeship or trades certificate or diploma
25 to 34,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",8910,"College, CEGEP or other non-university certificate or diploma"
